"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1354,IZ01-2604-I423-R,ME,SITUWANGI,,Renovasi,CILACAP,JL. RAYA LENGKONG DESA SITUWANGI KEC. RAKIT KAB. BANJARNEGARA,CV SUMBER REZEKI
1356,RZ01-2603-0007,ME,BONTOSUNGGU GOWA,,Alfamart Reguler,MAKASSAR,Jl. Poros Sungguminasa - Takalar Kel. Bontosunggu Kec. Bajeng Kab. Gowa,CV ABADI TEKNIK
1357,"1YZ1-2603-0001",Sipil,A.A. MARAMIS BITUNG,,Alfamart Reguler,MANADO,Jalan A.A. MARAMIS Kota Bitung,PT BATANG AER
1358,"1YZ1-0426-1Y42-R",Sipil,ADIPURA,,Renovasi,MANADO,"JL. RAYA ADIPURA NO 57, DESA PANIKI BAWAH, KEC. MAPANGET",CV CAHAYA FIRATAMA
1359,"2GZ1-2604-TA08-R",Sipil,PASIR KURAY,,,SERANG,Kp. Pasir Kuray Rt. 001 Rw. 002 Ds. Kujangjaya Kec. Cibeber Kab. Lebak,PT KREASI PRIMATAMA MANDIRI
1361,"1YZ1-2604-1YO2-R",ME,LANSOT TOMOHON,,Renovasi,MANADO,"JL. RAYA TOMOHON, LANSOT, KEC. TOMOHON SELATAN, KOTA TOMOHON",PT BATANG AER
1360,"1YZ1-2603-0001",ME,A.A. MARAMIS BITUNG,,Alfamart Reguler,MANADO,Jalan A.A. MARAMIS Kota Bitung,PT BATANG AER
1362,RZ01-2604-0001,Sipil,BONTONOMPO SELATAN,,Alfamart Reguler,MAKASSAR,Jl. Poros Bontokassi Bontoramba Kec.Bontonompo Selatan,CV RESKY PRATAMA
1363,JZ01-2003-0001,Sipil,SUNTER MAS,,Alfamart Reguler,CILEUNGSI,"JL, SUNTER HIJAU BLOK SC1 NO.14 KEL. SUNTER JAYA KEC. TANJUNG PRIOK JAKARTA UTARA",PT HANIF TUNGGAL MANDIRI
1364,"2GZ1-2604-TA08-R",ME,PASIR KURAY,,Renovasi,SERANG,Kp. Pasir Kuray Rt. 001 Rw. 002 Ds. Kujangjaya Kec. Cibeber Kab. Lebak,PT KREASI PRIMATAMA MANDIRI
1366,JZ01-2604-EB19-R,Sipil,VILLA NUSA INDAH,,Renovasi,CILEUNGSI,JL. VILLA NUSA INDAH BLOK U-3 DESA BOJONG KULUR GUNUNG PUTRI KAB. BOGOR,PT MITRA GIRI AGUNG
1367,"2PZ1-2508-0007",ME,MT Haryono Baru,,Alfamart Reguler,TEGAL,"Jl. MT Haryono,Saditan Baru, Kaumanbaru, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52212",CV TOTIDIO
1368,RZ01-2604-0001-R,Sipil,BONTONOMPO SELATAN,,Renovasi,MAKASSAR,Jl. Poros Bontokassi Bontoramba Kec.Bontonompo Selatan,CV RESKY PRATAMA
1369,"2VZ1-2603-0004",Sipil,TAMUKU LUWU UTARA,,Alfamart Reguler,LUWU,BONE BONE TAMUKU LUWU UTARA,PT TIGA PUTRA MEDIATAMA
