"id","id_gantt","kategori_pekerjaan"
1935,38,PEKERJAAN TANAH
1936,38,PEKERJAAN PONDASI & BETON
1937,38,PEKERJAAN PASANGAN
1938,38,PEKERJAAN BESI
1939,38,PEKERJAAN KERAMIK
1940,38,PEKERJAAN PLUMBING
1941,38,PEKERJAAN SANITARY & ACECORIES
917,71,PEKERJAAN PERSIAPAN
918,71,PEKERJAAN BOBOKAN / BONGKARAN
919,71,PEKERJAAN PASANGAN
920,71,PEKERJAAN PONDASI & BETON
921,71,PEKERJAAN KERAMIK
922,71,"PEKERJAAN KUSEN, PINTU & KACA"
923,71,PEKERJAAN FINISHING
924,71,PEKERJAAN BEANSPOT
925,71,PEKERJAAN TAMBAHAN
926,71,PEKERJAAN PLUMBING
927,71,PEKERJAAN BESI
928,72,PEKERJAAN PERSIAPAN
929,72,PEKERJAAN BOBOKAN / BONGKARAN
930,72,PEKERJAAN PONDASI & BETON
931,72,PEKERJAAN PASANGAN
932,72,PEKERJAAN BESI
933,72,PEKERJAAN KERAMIK
934,72,PEKERJAAN PLUMBING
935,72,"PEKERJAAN KUSEN, PINTU & KACA"
936,72,PEKERJAAN FINISHING
937,72,PEKERJAAN BEANSPOT
938,72,PEKERJAAN TAMBAHAN
1380,105,PEKERJAAN PASANGAN
1942,38,PEKERJAAN JANITOR
1943,38,PEKERJAAN ATAP
942,74,PEKERJAAN PERSIAPAN
943,74,PEKERJAAN BOBOKAN / BONGKARAN
944,74,PEKERJAAN TANAH
945,74,PEKERJAAN PONDASI & BETON
946,74,PEKERJAAN PASANGAN
947,74,PEKERJAAN BESI
948,74,PEKERJAAN KERAMIK
949,74,PEKERJAAN PLUMBING
950,74,PEKERJAAN SANITARY & ACECORIES
951,74,PEKERJAAN ATAP
952,74,"PEKERJAAN KUSEN, PINTU & KACA"
953,74,PEKERJAAN FINISHING
1944,38,"PEKERJAAN KUSEN, PINTU & KACA"
1945,38,PEKERJAAN FINISHING
954,74,PEKERJAAN BEANSPOT
955,74,PEKERJAAN TAMBAHAN
1338,101,PEKERJAAN PERSIAPAN
1339,101,PEKERJAAN BOBOKAN / BONGKARAN
1340,101,PEKERJAAN TANAH
1341,101,PEKERJAAN PONDASI & BETON
1342,101,PEKERJAAN PASANGAN
1343,101,PEKERJAAN BESI
1344,101,PEKERJAAN KERAMIK
1345,101,PEKERJAAN PLUMBING
1346,101,PEKERJAAN SANITARY & ACECORIES
1347,101,PEKERJAAN JANITOR
1348,101,PEKERJAAN ATAP
1349,101,"PEKERJAAN KUSEN, PINTU & KACA"
1350,101,PEKERJAAN FINISHING
1351,101,PEKERJAAN BEANSPOT
1352,101,PEKERJAAN TAMBAHAN
971,75,PEKERJAAN PERSIAPAN
972,75,PEKERJAAN BOBOKAN / BONGKARAN
973,75,PEKERJAAN TANAH
974,75,PEKERJAAN PONDASI & BETON
975,75,PEKERJAAN PASANGAN
976,75,PEKERJAAN BESI
977,75,PEKERJAAN KERAMIK
978,75,PEKERJAAN PLUMBING
979,75,PEKERJAAN SANITARY & ACECORIES
980,75,PEKERJAAN JANITOR
981,75,PEKERJAAN ATAP
982,75,"PEKERJAAN KUSEN, PINTU & KACA"
983,75,PEKERJAAN FINISHING
984,75,PEKERJAAN BEANSPOT
985,75,PEKERJAAN TAMBAHAN
986,76,INSTALASI
987,76,FIXTURE
988,76,PEKERJAAN TAMBAHAN
989,73,INSTALASI
990,73,FIXTURE
991,73,PEKERJAAN TAMBAHAN
992,77,PEKERJAAN BOBOKAN / BONGKARAN
993,77,PEKERJAAN PONDASI & BETON
994,77,PEKERJAAN PASANGAN
995,77,PEKERJAAN BESI
996,77,PEKERJAAN TANAH
997,77,PEKERJAAN KERAMIK
998,77,PEKERJAAN PLUMBING
999,77,PEKERJAAN SANITARY & ACECORIES
1000,77,PEKERJAAN JANITOR
1001,77,PEKERJAAN ATAP
1002,77,"PEKERJAAN KUSEN, PINTU & KACA"
1003,77,PEKERJAAN FINISHING
1004,77,PEKERJAAN AREA TERBUKA
1005,77,PEKERJAAN TAMBAHAN
1006,77,PEKERJAAN PERSIAPAN
1007,78,PEKERJAAN PERSIAPAN
1008,78,PEKERJAAN BOBOKAN / BONGKARAN
1009,78,PEKERJAAN TANAH
1010,78,PEKERJAAN PONDASI & BETON
1011,78,PEKERJAAN PASANGAN
1012,78,PEKERJAAN KERAMIK
1013,78,PEKERJAAN PLUMBING
1014,78,PEKERJAAN SANITARY & ACECORIES
1015,78,PEKERJAAN JANITOR
1016,78,PEKERJAAN FINISHING
1017,78,PEKERJAAN TAMBAHAN
1381,105,PEKERJAAN KERAMIK
1382,105,PEKERJAAN ATAP
1383,105,PEKERJAAN FINISHING
1021,45,PEKERJAAN PERSIAPAN
1022,45,PEKERJAAN BOBOKAN / BONGKARAN
1023,45,PEKERJAAN TANAH
1024,45,PEKERJAAN PONDASI & BETON
1025,45,PEKERJAAN PASANGAN
1026,45,PEKERJAAN BESI
1027,45,PEKERJAAN KERAMIK
1028,45,PEKERJAAN PLUMBING
1029,45,PEKERJAAN SANITARY & ACECORIES
1030,45,PEKERJAAN JANITOR
1031,45,PEKERJAAN ATAP
1032,45,"PEKERJAAN KUSEN, PINTU & KACA"
1033,45,PEKERJAAN FINISHING
1034,45,PEKERJAAN TAMBAHAN
1035,45,PEKERJAAN AREA TERBUKA
1036,45,INSTALASI
1037,45,FIXTURE
1384,105,PEKERJAAN TAMBAHAN
1810,132,PEKERJAAN PERSIAPAN
1811,132,PEKERJAAN TANAH
1041,81,PEKERJAAN PERSIAPAN
1042,81,PEKERJAAN BOBOKAN / BONGKARAN
1043,81,PEKERJAAN TANAH
1044,81,PEKERJAAN PONDASI & BETON
1045,81,PEKERJAAN PASANGAN
1046,81,PEKERJAAN BESI
1047,81,PEKERJAAN ATAP
1048,81,PEKERJAAN FINISHING
1049,81,PEKERJAAN AREA TERBUKA
1050,81,PEKERJAAN TAMBAHAN
1433,110,INSTALASI
1434,110,FIXTURE
1435,110,PEKERJAAN TAMBAHAN
1812,132,PEKERJAAN PONDASI & BETON
1813,132,PEKERJAAN PASANGAN
1814,132,PEKERJAAN BESI
1815,132,PEKERJAAN KERAMIK
1816,132,PEKERJAAN PLUMBING
1817,132,PEKERJAAN SANITARY & ACECORIES
1818,132,PEKERJAAN JANITOR
1819,132,PEKERJAAN ATAP
1820,132,"PEKERJAAN KUSEN, PINTU & KACA"
1821,132,PEKERJAAN FINISHING
1822,132,PEKERJAAN BEANSPOT
1823,132,PEKERJAAN TAMBAHAN
1504,43,PEKERJAAN PERSIAPAN
1505,43,PEKERJAAN TANAH
1506,43,PEKERJAAN PONDASI & BETON
1507,43,PEKERJAAN PASANGAN
1508,43,PEKERJAAN BESI
1087,85,INSTALASI
1088,85,FIXTURE
1089,85,PEKERJAAN TAMBAHAN
1090,85,PEKERJAAN PERSIAPAN
1091,85,PEKERJAAN BOBOKAN / BONGKARAN
1092,85,PEKERJAAN TANAH
1093,85,PEKERJAAN PONDASI & BETON
1094,85,PEKERJAAN PASANGAN
1095,85,PEKERJAAN BESI
1096,85,PEKERJAAN KERAMIK
1097,85,PEKERJAAN PLUMBING
1098,85,PEKERJAAN SANITARY & ACECORIES
1099,85,PEKERJAAN JANITOR
1100,85,PEKERJAAN ATAP
1101,85,"PEKERJAAN KUSEN, PINTU & KACA"
1102,85,PEKERJAAN FINISHING
1103,85,PEKERJAAN AREA TERBUKA
1104,86,INSTALASI
1105,86,FIXTURE
1106,86,PEKERJAAN TAMBAHAN
2403,169,PEKERJAAN PASANGAN
2404,169,PEKERJAAN BESI
2405,169,PEKERJAAN KERAMIK
2406,169,PEKERJAAN PLUMBING
2407,169,PEKERJAAN SANITARY & ACECORIES
2408,169,PEKERJAAN JANITOR
2409,169,PEKERJAAN ATAP
2410,169,"PEKERJAAN KUSEN, PINTU & KACA"
2411,169,PEKERJAAN FINISHING
2412,169,PEKERJAAN BEANSPOT
1121,88,PEKERJAAN PERSIAPAN
1122,88,PEKERJAAN BOBOKAN / BONGKARAN
1123,88,PEKERJAAN PASANGAN
1124,88,PEKERJAAN BESI
1125,88,PEKERJAAN TAMBAHAN
1126,88,PEKERJAAN ATAP
1127,88,PEKERJAAN KERAMIK
1128,88,PEKERJAAN BEANSPOT
1129,88,PEKERJAAN PLUMBING
1130,88,PEKERJAAN SANITARY & ACECORIES
1131,88,"PEKERJAAN KUSEN, PINTU & KACA"
1132,88,PEKERJAAN FINISHING
1133,88,PEKERJAAN AREA TERBUKA
1134,89,PEKERJAAN PERSIAPAN
1135,89,PEKERJAAN BOBOKAN / BONGKARAN
1136,89,PEKERJAAN TANAH
1137,89,PEKERJAAN PONDASI & BETON
1138,89,PEKERJAAN PASANGAN
1139,89,PEKERJAAN BESI
1140,89,PEKERJAAN KERAMIK
1141,89,PEKERJAAN PLUMBING
1142,89,PEKERJAAN SANITARY & ACECORIES
1143,89,PEKERJAAN ATAP
1144,89,"PEKERJAAN KUSEN, PINTU & KACA"
1145,89,PEKERJAAN FINISHING
1146,89,PEKERJAAN BEANSPOT
1147,89,PEKERJAAN TAMBAHAN
1353,102,INSTALASI
1354,102,FIXTURE
1355,102,PEKERJAAN TAMBAHAN
1412,50,INSTALASI
1413,50,FIXTURE
1414,50,PEKERJAAN TAMBAHAN
1178,90,INSTALASI
1179,90,FIXTURE
1180,91,INSTALASI
1181,91,FIXTURE
1182,91,PEKERJAAN TAMBAHAN
1183,92,PEKERJAAN PERSIAPAN
1184,92,PEKERJAAN BOBOKAN / BONGKARAN
1185,92,PEKERJAAN TANAH
1186,92,PEKERJAAN PONDASI & BETON
1187,92,PEKERJAAN PASANGAN
1188,92,PEKERJAAN KERAMIK
1189,92,PEKERJAAN PLUMBING
1190,92,PEKERJAAN SANITARY & ACECORIES
1191,92,PEKERJAAN JANITOR
1192,92,PEKERJAAN FINISHING
1193,92,PEKERJAAN TAMBAHAN
1197,93,PEKERJAAN PERSIAPAN
1198,93,PEKERJAAN BOBOKAN / BONGKARAN
1199,93,PEKERJAAN PASANGAN
1200,93,PEKERJAAN BEANSPOT
1201,93,PEKERJAAN KERAMIK
1202,93,PEKERJAAN FINISHING
1203,94,INSTALASI
1204,94,FIXTURE
1205,94,PEKERJAAN TAMBAHAN
1946,38,PEKERJAAN TAMBAHAN
1960,116,PEKERJAAN BESI
1961,116,PEKERJAAN TAMBAHAN
1962,116,PEKERJAAN PERSIAPAN
1963,116,PEKERJAAN BOBOKAN / BONGKARAN
1964,116,PEKERJAAN TANAH
1965,116,PEKERJAAN PONDASI & BETON
1966,116,PEKERJAAN PASANGAN
1221,95,PEKERJAAN PERSIAPAN
1222,95,PEKERJAAN BOBOKAN / BONGKARAN
1223,95,PEKERJAAN TANAH
1224,95,PEKERJAAN PONDASI & BETON
1225,95,PEKERJAAN PASANGAN
1226,95,PEKERJAAN BESI
1227,95,PEKERJAAN KERAMIK
1228,95,PEKERJAAN PLUMBING
1229,95,PEKERJAAN SANITARY & ACECORIES
1230,95,PEKERJAAN ATAP
1231,95,"PEKERJAAN KUSEN, PINTU & KACA"
1232,95,PEKERJAAN FINISHING
1233,95,PEKERJAAN BEANSPOT
1234,95,PEKERJAAN AREA TERBUKA
1235,95,PEKERJAAN TAMBAHAN
1967,116,PEKERJAAN KERAMIK
1968,116,PEKERJAAN PLUMBING
1969,116,PEKERJAAN SANITARY & ACECORIES
1252,82,INSTALASI
1253,82,FIXTURE
1254,82,PEKERJAAN TAMBAHAN
1255,96,PEKERJAAN PERSIAPAN
1256,96,PEKERJAAN BOBOKAN / BONGKARAN
1257,96,PEKERJAAN TANAH
1258,96,PEKERJAAN PONDASI & BETON
1259,96,PEKERJAAN PASANGAN
1260,96,PEKERJAAN BESI
1261,96,PEKERJAAN KERAMIK
1262,96,PEKERJAAN PLUMBING
1263,96,PEKERJAAN SANITARY & ACECORIES
1264,96,PEKERJAAN ATAP
1265,96,"PEKERJAAN KUSEN, PINTU & KACA"
1266,96,PEKERJAAN FINISHING
1267,96,PEKERJAAN BEANSPOT
1268,96,PEKERJAAN AREA TERBUKA
1269,96,PEKERJAAN TAMBAHAN
1839,134,INSTALASI
1840,134,FIXTURE
1841,134,PEKERJAAN TAMBAHAN
2413,140,PEKERJAAN PERSIAPAN
2414,140,INSTALASI
2415,140,FIXTURE
2416,140,PEKERJAAN TAMBAHAN
2417,140,PEKERJAAN BOBOKAN / BONGKARAN
2418,140,PEKERJAAN ATAP
2419,140,PEKERJAAN BESI
2420,140,PEKERJAAN TANAH
2421,140,PEKERJAAN PONDASI & BETON
2422,140,PEKERJAAN PASANGAN
1298,98,INSTALASI
1299,98,FIXTURE
1300,98,PEKERJAAN TAMBAHAN
1301,79,INSTALASI
1302,79,FIXTURE
1303,79,PEKERJAAN TAMBAHAN
2423,140,PEKERJAAN KERAMIK
2424,140,PEKERJAAN PLUMBING
2425,140,PEKERJAAN SANITARY & ACECORIES
2426,140,PEKERJAAN FINISHING
2487,155,PEKERJAAN PERSIAPAN
2488,155,PEKERJAAN BOBOKAN / BONGKARAN
2489,155,PEKERJAAN PONDASI & BETON
2490,155,PEKERJAAN PASANGAN
2491,155,PEKERJAAN TAMBAHAN
2492,155,PEKERJAAN BESI
1393,35,PEKERJAAN PERSIAPAN
1394,35,PEKERJAAN BOBOKAN / BONGKARAN
1395,35,PEKERJAAN TANAH
1396,35,PEKERJAAN PONDASI & BETON
1397,35,PEKERJAAN PASANGAN
1398,35,PEKERJAAN TAMBAHAN
1399,35,PEKERJAAN BESI
1400,35,PEKERJAAN KERAMIK
1401,35,PEKERJAAN PLUMBING
1402,35,PEKERJAAN SANITARY & ACECORIES
1403,35,PEKERJAAN JANITOR
1404,35,PEKERJAAN ATAP
1405,35,"PEKERJAAN KUSEN, PINTU & KACA"
1406,35,PEKERJAAN FINISHING
1407,35,PEKERJAAN BEANSPOT
1408,35,PEKERJAAN AREA TERBUKA
1415,108,PEKERJAAN PERSIAPAN
1416,108,PEKERJAAN BOBOKAN / BONGKARAN
1417,108,PEKERJAAN TANAH
1418,108,PEKERJAAN PONDASI & BETON
1419,108,PEKERJAAN PASANGAN
1420,108,PEKERJAAN BESI
1421,108,PEKERJAAN KERAMIK
1422,108,PEKERJAAN PLUMBING
1423,108,PEKERJAAN SANITARY & ACECORIES
1424,108,PEKERJAAN ATAP
1425,108,"PEKERJAAN KUSEN, PINTU & KACA"
1426,108,PEKERJAAN FINISHING
1427,108,PEKERJAAN AREA TERBUKA
1428,108,PEKERJAAN BEANSPOT
1429,108,PEKERJAAN TAMBAHAN
2493,155,PEKERJAAN KERAMIK
2494,155,PEKERJAAN PLUMBING
2495,155,PEKERJAAN SANITARY & ACECORIES
2496,155,PEKERJAAN ATAP
2497,155,"PEKERJAAN KUSEN, PINTU & KACA"
2498,155,PEKERJAAN FINISHING
2499,155,PEKERJAAN AREA TERBUKA
2500,173,PEKERJAAN PERSIAPAN
2501,173,PEKERJAAN BOBOKAN / BONGKARAN
2502,173,PEKERJAAN TANAH
2503,173,PEKERJAAN PONDASI & BETON
2504,173,PEKERJAAN PASANGAN
2505,173,PEKERJAAN BESI
2506,173,PEKERJAAN KERAMIK
1468,112,INSTALASI
1469,112,FIXTURE
1470,112,PEKERJAAN TAMBAHAN
2507,173,PEKERJAAN PLUMBING
2508,173,PEKERJAAN ATAP
2509,173,"PEKERJAAN KUSEN, PINTU & KACA"
2510,173,PEKERJAAN FINISHING
2511,173,PEKERJAAN TAMBAHAN
1509,43,PEKERJAAN KERAMIK
1510,43,PEKERJAAN SANITARY & ACECORIES
1511,43,PEKERJAAN ATAP
1512,43,"PEKERJAAN KUSEN, PINTU & KACA"
1513,43,PEKERJAAN FINISHING
1514,43,PEKERJAAN AREA TERBUKA
1515,43,PEKERJAAN TAMBAHAN
1516,43,PEKERJAAN PLUMBING
1531,115,INSTALASI
1532,115,FIXTURE
1533,115,PEKERJAAN TAMBAHAN
2427,46,PEKERJAAN PERSIAPAN
2428,46,PEKERJAAN BOBOKAN / BONGKARAN
2429,46,PEKERJAAN TANAH
2430,46,PEKERJAAN PONDASI & BETON
2431,46,PEKERJAAN PASANGAN
2432,46,PEKERJAAN BESI
2433,46,PEKERJAAN KERAMIK
2434,46,PEKERJAAN PLUMBING
2435,46,PEKERJAAN SANITARY & ACECORIES
2436,46,PEKERJAAN JANITOR
2437,46,PEKERJAAN ATAP
2438,46,"PEKERJAAN KUSEN, PINTU & KACA"
2439,46,PEKERJAAN FINISHING
1548,117,INSTALASI
1549,117,FIXTURE
1550,117,PEKERJAAN TAMBAHAN
2440,46,PEKERJAAN AREA TERBUKA
2444,171,PEKERJAAN PERSIAPAN
2445,171,PEKERJAAN BOBOKAN / BONGKARAN
2446,171,PEKERJAAN PASANGAN
2447,171,PEKERJAAN KERAMIK
2448,171,PEKERJAAN FINISHING
2449,171,PEKERJAAN BEANSPOT
2450,171,PEKERJAAN TAMBAHAN
2451,171,PEKERJAAN BESI
2512,167,PEKERJAAN PERSIAPAN
2513,167,PEKERJAAN BOBOKAN / BONGKARAN
2514,167,PEKERJAAN TANAH
2515,167,PEKERJAAN PONDASI & BETON
2516,167,PEKERJAAN PASANGAN
2517,167,PEKERJAAN BESI
2518,167,PEKERJAAN KERAMIK
2519,167,PEKERJAAN PLUMBING
2520,167,PEKERJAAN SANITARY & ACECORIES
2521,167,PEKERJAAN ATAP
2522,167,"PEKERJAAN KUSEN, PINTU & KACA"
2523,167,PEKERJAAN FINISHING
2524,167,PEKERJAAN AREA TERBUKA
2525,167,PEKERJAAN TAMBAHAN
2526,174,PEKERJAAN PERSIAPAN
2527,174,PEKERJAAN TANAH
2528,174,PEKERJAAN PONDASI & BETON
2529,174,PEKERJAAN PASANGAN
2530,174,PEKERJAAN BESI
2531,174,PEKERJAAN KERAMIK
2532,174,PEKERJAAN PLUMBING
2533,174,PEKERJAAN SANITARY & ACECORIES
2534,174,PEKERJAAN JANITOR
2535,174,PEKERJAAN ATAP
1589,84,PEKERJAAN PERSIAPAN
1590,84,PEKERJAAN BOBOKAN / BONGKARAN
1591,84,PEKERJAAN TANAH
1592,84,PEKERJAAN PONDASI & BETON
1593,84,PEKERJAAN PASANGAN
1594,84,PEKERJAAN BESI
1595,84,PEKERJAAN KERAMIK
1596,84,PEKERJAAN PLUMBING
1597,84,PEKERJAAN SANITARY & ACECORIES
1598,84,PEKERJAAN JANITOR
1599,84,PEKERJAAN ATAP
1600,84,"PEKERJAAN KUSEN, PINTU & KACA"
1601,84,PEKERJAAN FINISHING
1602,84,PEKERJAAN BEANSPOT
1603,84,PEKERJAAN TAMBAHAN
1604,84,PEKERJAAN AREA TERBUKA
1605,120,PEKERJAAN PERSIAPAN
1606,120,PEKERJAAN BOBOKAN / BONGKARAN
1607,120,PEKERJAAN TANAH
1608,120,PEKERJAAN PONDASI & BETON
1609,120,PEKERJAAN PASANGAN
1610,120,PEKERJAAN BESI
1611,120,PEKERJAAN KERAMIK
1612,120,PEKERJAAN PLUMBING
1613,120,PEKERJAAN SANITARY & ACECORIES
1614,120,PEKERJAAN JANITOR
1615,120,PEKERJAAN ATAP
1616,120,"PEKERJAAN KUSEN, PINTU & KACA"
1617,120,PEKERJAAN FINISHING
1618,120,PEKERJAAN BEANSPOT
1619,120,PEKERJAAN AREA TERBUKA
1620,120,PEKERJAAN TAMBAHAN
1621,121,PEKERJAAN PERSIAPAN
1622,121,PEKERJAAN BOBOKAN / BONGKARAN
1623,121,PEKERJAAN TAMBAHAN
