ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
XZ01-2512-0003,"LEMBAH HIJAU",BOGOR,2026-04-13,2026-05-07,Yes,23,7500000,23,7500000,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
RZ01-2602-0001,"JENETALLASA GOWA",MAKASSAR,2026-04-13,2026-07-10,Yes,87,7500000,87,7500000,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
RZ01-2602-0001,"JENETALLASA GOWA",MAKASSAR,2026-04-13,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2121-0001,"TES KONTRAKTOR",HEAD OFFICE,2026-04-13,2026-05-19,Yes,0,0,35,7500000,35,7500000,INCREASE,1,1,0,"SPK+1 (1 weekend)"
WZ01-2602-0007,"JOHAR MENCIRIM",MEDAN,2026-04-15,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
WZ01-2603-0002,"Johar - Sei Mencirim",MEDAN,2026-04-15,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2DZ1-2601-0003-R,"Central Barelang",BATAM,2026-04-16,2026-05-05,Yes,18,7500000,18,7500000,0,0,NO_CHANGE,3,2,1,"SPK+3 (2 weekend, 1 libur nasional)"
2DZ1-2601-0003-R,"Central Barelang",BATAM,2026-04-16,2026-05-05,Yes,0,0,18,7500000,18,7500000,INCREASE,3,2,1,"SPK+3 (2 weekend, 1 libur nasional)"
1DZ1-2512-0002-R,"LINTAS TEBO - BUNGO 4",JAMBI,2026-04-16,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1DZ1-2512-0002-R,"LINTAS TEBO - BUNGO 4",JAMBI,2026-04-16,2026-04-16,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
JZ01-2511-0006,"CIPINANG MUARA RAYA",CILEUNGSI,2026-04-16,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
JZ01-2601-0004,"DARK STORE CEMPAKA PUTIH ( PANGKALAN ASEM )",CILEUNGSI,2026-04-16,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2DZ1-2601-0002,"RUKO SP PLAZA",BATAM,2026-04-17,2026-05-05,Yes,16,7500000,15,7500000,-1,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2DZ1-2601-0002,"RUKO SP PLAZA",BATAM,2026-04-17,2026-05-06,Yes,0,0,16,7500000,16,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
1MZ1-2511-0002,"JOMBANG CIPUTAT (NEW STORE)",PARUNG,2026-04-18,2026-04-15,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1MZ1-2511-0002,"JOMBANG CIPUTAT (NEW STORE)",PARUNG,2026-04-18,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
IZ01-2602-0001,"WIRUN (NEW STORE REG)",CILACAP,2026-04-18,2026-04-20,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
WZ01-1605-0005-R,"DJUANDA TAMIANG",MEDAN,2026-04-18,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
LZ01-2602-0005,"PUNCAK 5 GUMAWANG",KOTABUMI,2026-04-18,2026-04-18,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
LZ01-2602-0005,"PUNCAK 5 GUMAWANG",KOTABUMI,2026-04-18,2026-04-18,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
UZ01-2602-0015,"SMD BELATUK",SIDOARJO BPN_SMD,2026-04-18,2026-05-18,Yes,0,0,28,7500000,28,7500000,INCREASE,1,1,0,"SPK+1 (1 weekend)"
JZ01-2511-0006,"CIPINANG MUARA RAYA",CILEUNGSI,2026-04-18,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
WZ01-1605-0005,"DJUANDA TAMIANG",MEDAN,2026-04-18,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
