id,id_toko,link_pdf,created_at,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang
51,1589,https://drive.google.com/file/d/1_gYjdmTdojGFGn5mzZ0IRv3LhWFqXqsO/view?usp=drivesdk,2026-06-19 09:23:05.922269,JZ01-2604-0009,SIPIL,Taman Malaka Selatan,CILEUNGSI
203,1625,https://drive.google.com/file/d/1Aw49-muXIOS8lrbAgJoZ4F2nQdOctXjX/view?usp=drivesdk,2026-06-29 16:21:20.981845,LZ01-2605-0002,ME,AHMAD YANI BATURAJA,LAMPUNG
198,1621,https://drive.google.com/file/d/1BlO8SihWYTLHr-s3zFeLOkgaKEdZqjV8/view?usp=drivesdk,2026-06-29 10:58:53.094428,LZ01-2605-0002,SIPIL,AHMAD YANI BATURAJA,KOTABUMI
238,1382,https://drive.google.com/file/d/1sC5CGLInHs-Uymmim7cwpFKFo8uuHfeW/view?usp=drivesdk,2026-06-30 15:43:17.344108,TZ01-2604-1M18-R,SIPIL,RUKO AGRICOLA 2,BALARAJA
55,1520,https://drive.google.com/file/d/1lDfxXIAlCP9bzcKbi0BXYppqTK55wz6Y/view?usp=drivesdk,2026-06-20 12:21:11.31633,UZ01-2508-0012,ME,PETEMON KALI II SBY,SIDOARJO
54,1484,https://drive.google.com/file/d/1GR2FtIJqp0BUR7a2vnVtLvg6zUoI7qln/view?usp=drivesdk,2026-06-20 11:09:22.830185,UZ01-2508-0012,SIPIL,PETEMON KALI II  SURABAYA,SIDOARJO
144,1496,https://drive.google.com/file/d/1_lzlQ4MjQT3kSGoXTQm7fDZJBKc7c_Jn/view?usp=drivesdk,2026-06-19 11:20:23.466866,UZ01-2601-0003,ME,KTR LOA LEPU,SIDOARJO BPN_SMD
143,1497,https://drive.google.com/file/d/1Z0zUOZMDR0Udrt1byttfnYU-1MU72QZK/view?usp=drivesdk,2026-06-19 11:17:22.21739,UZ01-2601-0003,SIPIL,KTR LOA LEPU,SIDOARJO BPN_SMD
107,1252,https://drive.google.com/file/d/1m1UpdiN-lzffgAxuMgx0R9p8sE3Gmisn/view?usp=drivesdk,2026-04-30 13:15:40,UZ01-2602-0008,ME,KTR MANGKURAJA,SIDOARJO BPN_SMD
108,1257,https://drive.google.com/file/d/1KiHntL-vWU8EuiYk_kzIqfrzsBHhdNso/view?usp=drivesdk,2026-04-30 13:15:40,UZ01-2602-0008,SIPIL,KTR MANGKURAJA,SIDOARJO BPN_SMD
219,1534,https://drive.google.com/file/d/1NPsbmg8gseaecCIem58U8HTsWWzDiNu-/view?usp=drivesdk,2026-06-30 13:54:48.273675,UZ01-2602-0023,SIPIL,RAYA LONTAR,SIDOARJO
241,1508,https://drive.google.com/file/d/1GxfqNAFx8lyFrqALfynzssbQ7O1wYxSI/view?usp=drivesdk,2026-06-30 17:36:59.880013,WZ01-2503-0010,SIPIL,BANDARA KUALANAMU,MEDAN
218,1462,https://drive.google.com/file/d/1c-L-inLY1IY8DXadY_oWZpJ-gXaZ1j7m/view?usp=drivesdk,2026-06-30 10:13:07.298476,WZ01-2602-0010,ME,GRIGIT,MEDAN
216,1460,https://drive.google.com/file/d/1PbR8oHExpHgnYghz8o8hs9M4SgqkgMyb/view?usp=drivesdk,2026-06-30 10:00:35.314695,WZ01-2602-0010,SIPIL,GRIGIT,MEDAN
217,1868,https://drive.google.com/file/d/1kxwYHK6JVCbE1k-d8f7POOdA_UpgpT0F/view?usp=drivesdk,2026-06-30 10:06:39.144312,WZ01-2602-0019,SIPIL,Sukamandi Hilir,MEDAN
240,1275,https://drive.google.com/file/d/1IRK3Zfq0_MsHDTZQhU8Kpf6pxLQD-w3g/view?usp=drivesdk,2026-06-30 17:22:49.826404,WZ01-2602-0026,ME,RINGROAD SUNGGAL,MEDAN
202,1273,https://drive.google.com/file/d/1J7K3a_JGC-9293FWKA_MQVQGvuS9XvF9/view?usp=drivesdk,2026-06-29 16:11:17.792993,WZ01-2602-0026,SIPIL,RINGROAD SUNGGAL,MEDAN
201,1911,https://drive.google.com/file/d/122Kzoi3IR86_e9Qs5FX8BoR83MFAYPH9/view?usp=drivesdk,2026-06-29 14:53:08.484682,WZ01-2604-0010,ME,SUNGAI KANAN,MEDAN
192,1523,https://drive.google.com/file/d/16_3hbhfH2j4wsYw0eR7FjeezvoCKVHVG/view?usp=drivesdk,2026-06-25 16:36:35.930504,YZ01-2604-0004,ME,MARGO TARUNO,JEMBER
191,1522,https://drive.google.com/file/d/1J9snrEPR0TjC0q8NOG8wapbqbgAZT2Oi/view?usp=drivesdk,2026-06-25 14:39:59.768954,YZ01-2604-0004,SIPIL,MARGO TARUNO,JEMBER
4,1752,https://drive.google.com/file/d/1LJk-QETa1QXpt0x4hyr_FgzipmWNSMVE/view?usp=drivesdk,2026-05-21 13:57:53.514512,Z001-2605-0001,ME,TestFile,HEAD OFFICE
